lang,Age,count
Bash/Shell (all shells),18-24 years old,4069.0
Bash/Shell (all shells),25-34 years old,7277.0
Bash/Shell (all shells),35-44 years old,5026.0
Bash/Shell (all shells),45-54 years old,2157.0
Bash/Shell (all shells),55-64 years old,832.0
Bash/Shell (all shells),65 years or older,212.0
Bash/Shell (all shells),Prefer not to say,93.0
Bash/Shell (all shells),Under 18 years old,746.0
C,18-24 years old,4309.0
C,25-34 years old,0.0
C,35-44 years old,0.0
C,45-54 years old,0.0
C,55-64 years old,583.0
C,65 years or older,209.0
C,Prefer not to say,77.0
C,Under 18 years old,746.0
C#,18-24 years old,3442.0
C#,25-34 years old,5430.0
C#,35-44 years old,3895.0
C#,45-54 years old,1938.0
C#,55-64 years old,743.0
C#,65 years or older,154.0
C#,Prefer not to say,66.0
C#,Under 18 years old,650.0
C++,18-24 years old,4543.0
C++,25-34 years old,4047.0
C++,35-44 years old,2234.0
C++,45-54 years old,1180.0
C++,55-64 years old,612.0
C++,65 years or older,209.0
C++,Prefer not to say,100.0
C++,Under 18 years old,902.0
HTML/CSS,18-24 years old,9390.0
HTML/CSS,25-34 years old,13409.0
HTML/CSS,35-44 years old,8027.0
HTML/CSS,45-54 years old,3193.0
HTML/CSS,55-64 years old,1155.0
HTML/CSS,65 years or older,320.0
HTML/CSS,Prefer not to say,205.0
HTML/CSS,Under 18 years old,1809.0
Java,18-24 years old,5038.0
Java,25-34 years old,6190.0
Java,35-44 years old,3773.0
Java,45-54 years old,1571.0
Java,55-64 years old,624.0
Java,65 years or older,145.0
Java,Prefer not to say,81.0
Java,Under 18 years old,817.0
JavaScript,18-24 years old,10184.0
JavaScript,25-34 years old,15847.0
JavaScript,35-44 years old,9606.0
JavaScript,45-54 years old,3808.0
JavaScript,55-64 years old,1404.0
JavaScript,65 years or older,338.0
JavaScript,Prefer not to say,210.0
JavaScript,Under 18 years old,1787.0
PHP,18-24 years old,0.0
PHP,25-34 years old,3772.0
PHP,35-44 years old,2665.0
PHP,45-54 years old,1186.0
PHP,55-64 years old,0.0
PHP,65 years or older,155.0
PHP,Prefer not to say,0.0
PHP,Under 18 years old,0.0
Python,18-24 years old,7868.0
Python,25-34 years old,10927.0
Python,35-44 years old,6188.0
Python,45-54 years old,2611.0
Python,55-64 years old,1036.0
Python,65 years or older,288.0
Python,Prefer not to say,145.0
Python,Under 18 years old,1656.0
SQL,18-24 years old,6257.0
SQL,25-34 years old,11037.0
SQL,35-44 years old,7451.0
SQL,45-54 years old,3468.0
SQL,55-64 years old,1405.0
SQL,65 years or older,309.0
SQL,Prefer not to say,99.0
SQL,Under 18 years old,656.0
TypeScript,18-24 years old,6794.0
TypeScript,25-34 years old,11615.0
TypeScript,35-44 years old,6498.0
TypeScript,45-54 years old,2115.0
TypeScript,55-64 years old,595.0
TypeScript,65 years or older,0.0
TypeScript,Prefer not to say,133.0
TypeScript,Under 18 years old,967.0
