Country,count
USA,17602
Germany,4947
India,4231
UK,3224
Ukraine,2672
France,2110
Canada,2104
Poland,1534
Netherlands,1449
Brazil,1375
Italy,1341
Australia,1260
Spain,1123
Sweden,1016
Russia,925
Switzerland,876
Austria,791
Czech Republic,714
Israel,604
Turkey,546
Belgium,526
Denmark,504
Portugal,470
Norway,450
Romania,439
Pakistan,415
Iran,411
China,406
Mexico,402
Hungary,396
New Zealand,396
Greece,389
Finland,386
South Africa,358
Indonesia,354
Argentina,345
Bangladesh,327
Bulgaria,319
Nigeria,305
Vietnam,296
Japan,288
Ireland,270
Taiwan,268
Egypt,262
Slovakia,248
Serbia,245
Colombia,217
South Korea,205
Philippines,196
Croatia,187
Lithuania,183
Kenya,180
Singapore,177
Sri Lanka,163
Malaysia,161
Thailand,147
Hong Kong,146
Slovenia,142
Nepal,139
Chile,133
UAE,130
Latvia,128
Estonia,110
Morocco,98
Belarus,97
Georgia,94
Uruguay,94
Kazakhstan,81
Algeria,77
Peru,75
Tunisia,71
Ghana,70
Venezuela,69
Cyprus,63
Bosnia,62
Uzbekistan,62
Ethiopia,60
Armenia,58
Afghanistan,56
Saudi Arabia,56
Costa Rica,54
Ecuador,54
Albania,49
Dominican Republic,47
Lebanon,46
Kyrgyzstan,44
Iraq,44
Nomadic,43
Guatemala,41
Luxembourg,40
Jordan,40
Paraguay,39
Uganda,39
Republic of Moldova,38
Macedonia,36
Bolivia,32
Cameroon,31
Iceland,31
Syria,30
Malta,29
Tanzania,28
Azerbaijan,27
Montenegro,27
Zimbabwe,26
Cuba,23
Cambodia,22
Rwanda,22
Nicaragua,21
Myanmar,21
Angola,20
El Salvador,19
Yemen,18
Panama,18
Kosovo,18
Honduras,16
Maldives,16
Qatar,15
Palestine,15
Zambia,15
Andorra,15
Mauritius,15
Ivory Coast,14
Madagascar,14
Isle of Man,13
Malawi,12
Turkmenistan,11
Bahrain,11
Benin,11
Jamaica,11
Mongolia,10
Togo,9
Senegal,9
Somalia,9
Congo,8
Oman,8
Kuwait,8
Trinidad,8
Tajikistan,7
Mozambique,7
Sudan,7
Barbados,6
Suriname,5
Cape Verde,5
Namibia,5
Botswana,5
Antigua,5
Mauritania,5
Laos,4
Libya,4
Fiji,4
Liberia,4
Gabon,4
Liechtenstein,4
Burkina Faso,4
Swaziland,4
Bahamas,4
Bhutan,3
DRC,3
Sierra Leone,3
San Marino,3
Monaco,3
Burundi,3
Brunei,3
North Korea,3
Guyana,3
Guinea-Bissau,2
Mali,2
Belize,2
Guinea,1
Dominica,1
Equatorial Guinea,1
Chad,1
Central African Republic,1
Samoa,1
Saint Kitts,1
Haiti,1
Djibouti,1
Papua New Guinea,1
Solomon Islands,1
"Micronesia, Federated States of...",1
Niger,1
Nauru,1
Lesotho,1
