lang,Age,count
Bash/Shell (all shells),18-24 years old,1151.0
Bash/Shell (all shells),25-34 years old,2889.0
Bash/Shell (all shells),35-44 years old,2047.0
Bash/Shell (all shells),45-54 years old,817.0
Bash/Shell (all shells),55-64 years old,251.0
Bash/Shell (all shells),65 years or older,24.0
Bash/Shell (all shells),Prefer not to say,7.0
Bash/Shell (all shells),Under 18 years old,58.0
C,18-24 years old,844.0
C,25-34 years old,0.0
C,35-44 years old,0.0
C,45-54 years old,0.0
C,55-64 years old,0.0
C,65 years or older,19.0
C,Prefer not to say,0.0
C,Under 18 years old,49.0
C#,18-24 years old,1021.0
C#,25-34 years old,2329.0
C#,35-44 years old,1765.0
C#,45-54 years old,864.0
C#,55-64 years old,273.0
C#,65 years or older,25.0
C#,Prefer not to say,8.0
C#,Under 18 years old,55.0
C++,18-24 years old,932.0
C++,25-34 years old,0.0
C++,35-44 years old,0.0
C++,45-54 years old,0.0
C++,55-64 years old,0.0
C++,65 years or older,0.0
C++,Prefer not to say,6.0
C++,Under 18 years old,51.0
Go,18-24 years old,0.0
Go,25-34 years old,1434.0
Go,35-44 years old,0.0
Go,45-54 years old,0.0
Go,55-64 years old,0.0
Go,65 years or older,0.0
Go,Prefer not to say,0.0
Go,Under 18 years old,0.0
HTML/CSS,18-24 years old,2227.0
HTML/CSS,25-34 years old,5106.0
HTML/CSS,35-44 years old,3247.0
HTML/CSS,45-54 years old,1264.0
HTML/CSS,55-64 years old,375.0
HTML/CSS,65 years or older,46.0
HTML/CSS,Prefer not to say,18.0
HTML/CSS,Under 18 years old,127.0
Java,18-24 years old,1261.0
Java,25-34 years old,2370.0
Java,35-44 years old,1493.0
Java,45-54 years old,587.0
Java,55-64 years old,179.0
Java,65 years or older,22.0
Java,Prefer not to say,8.0
Java,Under 18 years old,62.0
JavaScript,18-24 years old,2553.0
JavaScript,25-34 years old,6208.0
JavaScript,35-44 years old,3976.0
JavaScript,45-54 years old,1543.0
JavaScript,55-64 years old,469.0
JavaScript,65 years or older,50.0
JavaScript,Prefer not to say,20.0
JavaScript,Under 18 years old,124.0
PHP,18-24 years old,0.0
PHP,25-34 years old,1842.0
PHP,35-44 years old,1323.0
PHP,45-54 years old,497.0
PHP,55-64 years old,138.0
PHP,65 years or older,17.0
PHP,Prefer not to say,7.0
PHP,Under 18 years old,0.0
PowerShell,18-24 years old,0.0
PowerShell,25-34 years old,0.0
PowerShell,35-44 years old,973.0
PowerShell,45-54 years old,455.0
PowerShell,55-64 years old,145.0
PowerShell,65 years or older,0.0
PowerShell,Prefer not to say,0.0
PowerShell,Under 18 years old,0.0
Python,18-24 years old,1902.0
Python,25-34 years old,4033.0
Python,35-44 years old,2303.0
Python,45-54 years old,933.0
Python,55-64 years old,270.0
Python,65 years or older,33.0
Python,Prefer not to say,10.0
Python,Under 18 years old,106.0
SQL,18-24 years old,1990.0
SQL,25-34 years old,5082.0
SQL,35-44 years old,3429.0
SQL,45-54 years old,1472.0
SQL,55-64 years old,475.0
SQL,65 years or older,52.0
SQL,Prefer not to say,17.0
SQL,Under 18 years old,85.0
TypeScript,18-24 years old,1925.0
TypeScript,25-34 years old,4742.0
TypeScript,35-44 years old,2790.0
TypeScript,45-54 years old,905.0
TypeScript,55-64 years old,230.0
TypeScript,65 years or older,16.0
TypeScript,Prefer not to say,10.0
TypeScript,Under 18 years old,91.0
